document_id	document_title	sentence_idx	text	types_event	subtypes_event	types_event_unq	subtypes_event_unq	token_cnt	event_cnt	dataset	labels
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	0	American Airlines Up on Record April Traffic , Upbeat Q2 View	[]	[]	[]	[]	11	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	1	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	['SecurityValue', 'FinancialReport']	['SecurityValue.Increase_SecurityValue', 'FinancialReport.Stable_FinancialReport']	['FinancialReport', 'SecurityValue']	['FinancialReport.Stable_FinancialReport', 'SecurityValue.Increase_SecurityValue']	41	2	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	2	The company witnessed a 3.1 % rise in traffic , which is measured in revenue passenger miles RPMs , to $ 18.6 billion from $ 18 billion reported a year ago .	['SalesVolume', 'Revenue']	['SalesVolume.Increase_SalesVolume', 'Revenue.Increase_Revenue']	['SalesVolume', 'Revenue']	['SalesVolume.Increase_SalesVolume', 'Revenue.Increase_Revenue']	32	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	3	On a year-over-year basis , consolidated capacity or available seat miles / ASMs inched up 0.8 % to $ 22.6 billion .	['Revenue']	['Revenue.Increase_Revenue']	['Revenue']	['Revenue.Increase_Revenue']	22	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	4	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	['SalesVolume', 'SalesVolume', 'Revenue']	['SalesVolume.Increase_SalesVolume', 'SalesVolume.Increase_SalesVolume', 'Revenue.Increase_Revenue']	['SalesVolume', 'Revenue']	['SalesVolume.Increase_SalesVolume', 'Revenue.Increase_Revenue']	29	3	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	5	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis .	['FinancialReport', 'Revenue']	['FinancialReport.Miss', 'Revenue.Decrease_Revenue']	['FinancialReport', 'Revenue']	['FinancialReport.Miss', 'Revenue.Decrease_Revenue']	35	2	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	6	Also , load factor increased 20 basis points bps year over year to 80 % .	['FinancialReport']	['FinancialReport.Beat']	['FinancialReport']	['FinancialReport.Beat']	16	1	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	7	Moreover , passenger count PAX grew 0.8 % , while it declined 0.7 % on a year-to-date basis .	['FinancialReport', 'FinancialReport']	['FinancialReport.Beat', 'FinancialReport.Miss']	['FinancialReport']	['FinancialReport.Miss', 'FinancialReport.Beat']	19	2	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	8	American Airlines has raised its projections for the second quarter of 2017 .	['FinancialReport']	['FinancialReport.Beat']	['FinancialReport']	['FinancialReport.Beat']	13	1	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	9	The company expects total revenue per available seat mile TRASM growth in the band 3.5 % - - 5.5 % year over year .	['Revenue']	['Revenue.Increase_Revenue']	['Revenue']	['Revenue.Increase_Revenue']	24	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
